id,supported_engines,locations,spec,monthly_cost,numbers_of_node
vultr-dbaas-startup-occ-gp-32-640-128,"['mysql', 'pg']","blr,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mex,mia,nrt,ord,sao,scl,sgp,sjc,sto,syd,tlv,waw","{'vcpu_count': 32, 'ram': 131072, 'disk': 640}",2880,1
vultr-dbaas-business-occ-gp-32-640-128,"['mysql', 'pg']","blr,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mex,mia,nrt,ord,sao,scl,sgp,sjc,sto,syd,tlv,waw","{'vcpu_count': 32, 'ram': 131072, 'disk': 640}",4800,2
vultr-dbaas-premium-occ-gp-32-640-128,"['mysql', 'pg']","blr,bom,cdg,del,dfw,ewr,fra,icn,itm,jnb,lax,lhr,mad,man,mex,mia,nrt,ord,sao,scl,sgp,sjc,sto,syd,tlv,waw","{'vcpu_count': 32, 'ram': 131072, 'disk': 640}",6720,3
vultr-dbaas-startup-occ-gp-40-768-160,"['mysql', 'pg']","blr,bom,cdg,del,fra,icn,jnb,lax,lhr,mia,nrt,ord,sgp,sjc,sto,syd,waw","{'vcpu_count': 40, 'ram': 163840, 'disk': 768}",3600,1
vultr-dbaas-business-occ-gp-40-768-160,"['mysql', 'pg']","blr,bom,cdg,del,fra,icn,jnb,lax,lhr,mia,nrt,ord,sgp,sjc,sto,syd,waw","{'vcpu_count': 40, 'ram': 163840, 'disk': 768}",6000,2
vultr-dbaas-premium-occ-gp-40-768-160,"['mysql', 'pg']","blr,bom,cdg,del,fra,icn,jnb,lax,lhr,mia,nrt,ord,sgp,sjc,sto,syd,waw","{'vcpu_count': 40, 'ram': 163840, 'disk': 768}",8400,3
vultr-dbaas-startup-occ-gp-64-960-192,"['mysql', 'pg']","blr,bom,del,lax,lhr,mia,nrt,sgp,sto,syd,waw","{'vcpu_count': 64, 'ram': 196608, 'disk': 960}",5760,1
vultr-dbaas-business-occ-gp-64-960-192,"['mysql', 'pg']","blr,bom,del,lax,lhr,mia,nrt,sgp,sto,syd,waw","{'vcpu_count': 64, 'ram': 196608, 'disk': 960}",9600,2
vultr-dbaas-premium-occ-gp-64-960-192,"['mysql', 'pg']","blr,bom,del,lax,lhr,mia,nrt,sgp,sto,syd,waw","{'vcpu_count': 64, 'ram': 196608, 'disk': 960}",13440,3
vultr-dbaas-startup-occ-gp-96-1280-256,"['mysql', 'pg']","blr,bom,lhr,mia,sgp,sto,syd","{'vcpu_count': 96, 'ram': 262144, 'disk': 1280}",11520,1
vultr-dbaas-business-occ-gp-96-1280-256,"['mysql', 'pg']","blr,bom,lhr,mia,sgp,sto,syd","{'vcpu_count': 96, 'ram': 262144, 'disk': 1280}",19200,2
vultr-dbaas-premium-occ-gp-96-1280-256,"['mysql', 'pg']","blr,bom,lhr,mia,sgp,sto,syd","{'vcpu_count': 96, 'ram': 262144, 'disk': 1280}",26880,3
