Type,Category,Name,Processor / Cores,GPU,GPU type,Memory,Storage,Bandwidth,Price,,,,,,,,,,
Dedicated_CPU,Memory Optimized,voc-m-32c-256gb-1600s,32 vCPU,No,N/A,256GB,1600GB NVMe,12TB/mo,"$1,280.00/mo",,,,,,,,,,
Dedicated_CPU,Memory Optimized,voc-m-32c-256gb-3200s,32 vCPU,No,N/A,256GB,3200GB NVMe,12TB/mo,"$1,565.00/mo",,,,,,,,,,
Dedicated_CPU,Storage Optimized,voc-s-1c-8gb-150s,1 vCPU,No,N/A,8GB,150GB NVMe,4TB/mo,$75.00/mo,,,,,,,,,,
Dedicated_CPU,Storage Optimized,voc-s-2c-16gb-320s,2 vCPU,No,N/A,16GB,320GB NVMe,6TB/mo,$125.00/mo,,,,,,,,,,
Dedicated_CPU,Storage Optimized,voc-s-2c-16gb-480s,2 vCPU,No,N/A,16GB,480GB NVMe,6TB/mo,$155.00/mo,,,,,,,,,,
Dedicated_CPU,Storage Optimized,voc-s-4c-32gb-640s,4 vCPU,No,N/A,32GB,640GB NVMe,7TB/mo,$250.00/mo,,,,,,,,,,
Dedicated_CPU,Storage Optimized,voc-s-4c-32gb-960s,4 vCPU,No,N/A,32GB,960GB NVMe,7TB/mo,$310.00/mo,,,,,,,,,,
Dedicated_CPU,Storage Optimized,voc-s-8c-64gb-1280s,8 vCPU,No,N/A,64GB,1280GB NVMe,8TB/mo,$500.00/mo,,,,,,,,,,
Dedicated_CPU,Storage Optimized,voc-s-8c-64gb-1920s,8 vCPU,No,N/A,64GB,1920GB NVMe,8TB/mo,$620.00/mo,,,,,,,,,,
Dedicated_CPU,Storage Optimized,voc-s-16c-128gb-2560s,16 vCPU,No,N/A,128GB,2560GB NVMe,9TB/mo,"$1,000.00/mo",,,,,,,,,,
Dedicated_CPU,Storage Optimized,voc-s-24c-192gb-3840s,24 vCPU,No,N/A,192GB,3840GB NVMe,9TB/mo,"$1,240.00/mo",,,,,,,,,,
